"";"Score at 1000 M..";"Score at 1500 ..";"Score at 2000 M..";"Score at 2500 ..";"Score at 3000 ..";"Score at 3500 M..";"Score at 4000 ..";"Score at 4500 .."
"Dependent Var.:";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c"
" ";" ";" ";" ";" ";" ";" ";" ";" "
"year = -8";"-0.5463 (0.8491)";"-0.6683 (2.294)";"2.612* (1.189)";"-1.165 (2.915)";"-1.411 (1.487)";"4.585*** (1.153)";"-1.619. (0.9112)";"  "
"year = -7";"-0.2831 (0.6819)";"-0.7346 (1.499)";"-0.2265 (1.086)";"0.5156 (1.810)";"-0.5720 (1.400)";"6.646*** (0.9145)";"-2.052 (2.417)";"  "
"year = -6";"-0.4024 (0.4110)";"0.2047 (0.7603)";"-1.308 (0.8905)";"0.6182 (0.7020)";"-0.4725 (0.8931)";"0.8494 (1.043)";"0.2925 (0.7200)";"0.4521 (1.064)"
"year = -5";"-0.3783 (0.2934)";"0.1891 (0.6359)";"-0.5451 (0.7698)";"1.318* (0.6557)";"-0.8134 (0.8790)";"1.170 (1.059)";"-0.1406 (0.6858)";"0.2255 (0.6871)"
"year = -4";"-0.2014 (0.2772)";"0.1592 (0.5800)";"-0.4566 (0.6888)";"1.151* (0.5403)";"-0.2741 (0.8056)";"1.014 (0.9519)";"-0.6381 (0.6507)";"0.3784 (0.6277)"
"year = -3";"-0.3960. (0.2311)";"-0.3526 (0.5313)";"-0.2796 (0.5274)";"0.4283 (0.4328)";"-0.7349 (0.6439)";"0.5627 (0.7232)";"0.0973 (0.5738)";"0.2074 (0.5697)"
"year = -2";"-0.3197. (0.1846)";"-0.1253 (0.3590)";"-0.7840. (0.4016)";"0.4181 (0.3231)";"-0.1694 (0.6117)";"0.7011 (0.4917)";"-0.2590 (0.4742)";"-0.5143 (0.4354)"
"year = 0";"-0.1126 (0.1725)";"0.0776 (0.3166)";"-0.4857 (0.3713)";"0.7916* (0.3274)";"0.3691 (0.5936)";"0.5092 (0.5303)";"0.0084 (0.5111)";"0.7477. (0.4427)"
"year = 1";"0.1044 (0.1865)";"0.5895 (0.4104)";"-0.7357. (0.4427)";"0.3724 (0.3515)";"-0.2422 (0.6473)";"0.2899 (0.6317)";"-0.2643 (0.5300)";"0.9089. (0.4829)"
"year = 2";"0.2861 (0.1974)";"0.0587 (0.4234)";"-0.4961 (0.4057)";"-0.2425 (0.3467)";"0.2392 (0.6359)";"0.3789 (0.6855)";"-0.2853 (0.4823)";"0.8703. (0.4496)"
"year = 3";"0.1598 (0.2328)";"0.6917 (0.5373)";"-0.6290 (0.5567)";"-0.3149 (0.4732)";"0.5979 (0.8666)";"0.1350 (1.007)";"-0.8476 (0.6075)";"-0.4477 (0.5108)"
"year = 4";"0.6616* (0.2877)";"1.304. (0.6729)";"-0.6010 (0.6743)";"0.1317 (0.6404)";"1.892. (0.9629)";"-0.3536 (0.9540)";"-1.070. (0.6415)";"-0.9245 (0.6550)"
"year = 5";"0.7478* (0.3028)";"1.182 (0.7175)";"0.4766 (0.6865)";"-0.0794 (0.6125)";"1.840 (1.142)";"0.5110 (0.9679)";"-0.6807 (0.6884)";"-0.7322 (0.7395)"
"year = 6";"1.085** (0.3304)";"1.479* (0.7348)";"-0.0055 (0.6776)";"0.6818 (0.6444)";"1.748 (1.239)";"0.3276 (0.9725)";"0.1943 (0.7329)";"-0.8507 (0.7122)"
"year = 7";"1.043** (0.3291)";"1.361. (0.7600)";"0.7784 (0.7157)";"0.2904 (0.6381)";"0.9397 (1.040)";"1.203 (1.019)";"-0.6091 (0.7915)";"-1.259. (0.7483)"
"year = 8";"1.828*** (0.4280)";"2.415* (0.9712)";"1.532 (1.034)";"2.841** (0.9720)";"2.557. (1.383)";"2.922 (2.081)";"3.890* (1.553)";"-1.105 (0.8913)"
"Fixed-Effects:";"-----------------";"----------------";"-----------------";"----------------";"----------------";"-----------------";"----------------";"----------------"
"cole_cod_dane";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"year";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"_______________";"_________________";"________________";"_________________";"________________";"________________";"_________________";"________________";"________________"
"S.E.: Clustered";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_d..";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_d.."
"Observations";"12,469";"2,829";"2,579";"2,741";"2,220";"1,388";"2,028";"1,849"
"R2";"0.85275";"0.84876";"0.86388";"0.88049";"0.86521";"0.85273";"0.85773";"0.88395"
"Within R2";"0.01718";"0.04081";"0.03340";"0.05247";"0.03698";"0.03812";"0.05080";"0.02703"
