"";"Score at 1000 M..";"Score at 1500 ..";"Score at 2000 M..";"Score at 2500 M..";"Score at 3000 ..";"Score at 3500 ..";"Score at 4000 Me..";"Score at 4500 .."
"Dependent Var.:";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c"
" ";" ";" ";" ";" ";" ";" ";" ";" "
"year = -8";"0.5536 (0.7452)";"-1.524 (1.777)";"  ";"0.6043 (2.053)";"-0.0991 (1.013)";"  ";"-1.919 (2.413)";"  "
"year = -7";"0.8102 (0.7418)";"1.252 (2.041)";"  ";"3.377** (1.215)";"0.3219 (0.7830)";"2.147 (1.970)";"-1.212 (1.263)";"  "
"year = -6";"-1.499. (0.8550)";"-0.1865 (1.537)";"  ";"0.3309 (2.034)";"0.9708 (0.5945)";"1.310 (1.962)";"-0.0303 (0.4639)";"  "
"year = -5";"0.2488 (0.6876)";"0.6675 (1.746)";"5.022*** (0.6674)";"5.523*** (1.025)";"0.2592 (0.6199)";"-1.431* (0.6748)";"0.1750 (1.123)";"  "
"year = -4";"0.8003. (0.4612)";"0.5147 (1.501)";"4.654*** (0.9677)";"0.4504 (1.548)";"0.6213 (0.7527)";"2.111* (0.8084)";"-1.826*** (0.5417)";"  "
"year = -3";"0.6446 (0.5696)";"-0.0249 (1.410)";"-1.276 (1.361)";"-0.2297 (1.672)";"-1.122 (0.7809)";"0.7223 (0.9095)";"-0.4020 (0.4601)";"  "
"year = -2";"-0.4441 (0.2760)";"-0.7008 (0.5783)";"-0.4607 (0.5419)";"-0.3257 (0.4914)";"-0.4797 (0.4858)";"-0.7547 (0.8429)";"-0.1296 (0.4993)";"0.0809 (0.6566)"
"year = 0";"-0.1379 (0.1897)";"-0.0029 (0.3625)";"0.1047 (0.4784)";"0.4843 (0.4594)";"0.2793 (0.4523)";"-0.2132 (0.8486)";"-0.6823 (0.5802)";"-0.5301 (0.6382)"
"year = 1";"-0.4698* (0.2221)";"-0.4099 (0.5335)";"0.3717 (0.5124)";"-0.4332 (0.4373)";"-0.4843 (0.4813)";"-0.7762 (0.8426)";"-0.1074 (0.5557)";"0.0718 (0.5442)"
"year = 2";"-0.3788 (0.2468)";"-0.2562 (0.5140)";"-0.9593 (0.6263)";"-0.3510 (0.4897)";"-0.3091 (0.6355)";"-0.5918 (0.7561)";"-0.4094 (0.5636)";"-0.4047 (0.6774)"
"year = 3";"-0.6755* (0.2952)";"-0.4238 (0.6212)";"0.2060 (0.7606)";"-1.577** (0.5865)";"-1.082 (0.7286)";"-1.547 (1.052)";"-0.5354 (0.7214)";"-0.6774 (0.9062)"
"year = 4";"-0.6535* (0.2842)";"-0.1545 (0.6073)";"-0.2225 (0.6466)";"-0.4050 (0.4801)";"-0.1269 (0.5753)";"-1.255 (0.8289)";"-0.5809 (0.5977)";"-0.0483 (0.6215)"
"year = 5";"-0.1517 (0.2713)";"0.3815 (0.5608)";"-0.0442 (0.7484)";"-1.216* (0.4748)";"-0.2967 (0.5608)";"-0.7667 (1.018)";"-0.5442 (0.5751)";"0.2971 (0.6655)"
"year = 6";"-0.3533 (0.3091)";"-0.2809 (0.6469)";"-0.1364 (0.7405)";"-1.644** (0.6216)";"0.3026 (0.6913)";"-1.435 (1.198)";"-0.7944 (0.7564)";"0.6806 (0.8895)"
"year = 7";"-0.7447* (0.3721)";"0.1752 (0.7491)";"-0.6141 (0.8972)";"-2.065** (0.7550)";"-0.0992 (0.8252)";"-1.742 (1.571)";"-1.744. (0.9139)";"-0.9447 (1.015)"
"year = 8";"-0.7398. (0.4362)";"0.7221 (0.9329)";"-1.343 (0.9725)";"-1.800* (0.8629)";"0.4721 (1.082)";"-2.192 (1.448)";"-2.173* (1.016)";"-1.149 (1.192)"
"year = 9";"-0.9255* (0.4509)";"0.3395 (0.9689)";"-0.4007 (1.049)";"-2.359** (0.8901)";"-0.1350 (1.126)";"-1.445 (1.549)";"-2.206* (1.009)";"-1.285 (1.303)"
"year = 10";"-0.6023 (0.4803)";"0.7749 (0.9898)";"-2.080. (1.093)";"-1.595. (0.9212)";"0.3076 (1.116)";"-2.144 (1.528)";"-1.182 (1.091)";"-1.597 (1.230)"
"year = 11";"-0.9456* (0.4717)";"0.6538 (0.9690)";"-1.812. (1.086)";"-2.076* (0.9005)";"-0.5410 (0.9677)";"-1.552 (1.531)";"-2.215* (1.051)";"-2.879* (1.253)"
"year = 12";"-0.8759 (0.6015)";"3.199* (1.255)";"-3.223 (2.325)";"2.165 (2.522)";"1.712 (1.780)";"  ";"1.528 (1.197)";"  "
"Fixed-Effects:";"-----------------";"----------------";"-----------------";"-----------------";"----------------";"----------------";"------------------";"----------------"
"cole_cod_dane";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"year";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"_______________";"_________________";"________________";"_________________";"_________________";"________________";"________________";"__________________";"________________"
"S.E.: Clustered";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_dane";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_d..";"by: cole_cod_dane";"by: cole_cod_d.."
"Observations";"12,546";"2,850";"2,579";"2,750";"2,290";"1,391";"2,040";"1,848"
"R2";"0.85063";"0.84688";"0.86494";"0.88093";"0.85984";"0.85314";"0.85407";"0.88278"
"Within R2";"0.00707";"0.03435";"0.04089";"0.06055";"0.01993";"0.04104";"0.03124";"0.01752"
