"";"Score at 1000 Me..";"Score at 1500 Me..";"Score at 2000 M..";"Score at 2500 ..";"Score at 3000 ..";"Score at 3500 ..";"Score at 4000 ..";"Score at 4500.."
"Dependent Var.:";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c";"math_c"
" ";" ";" ";" ";" ";" ";" ";" ";" "
"year = -8";"-2.168*** (0.4341)";"-2.347** (0.8870)";"-0.5243 (1.027)";"-2.159. (1.236)";"-3.008** (1.021)";"-1.126 (1.889)";"-3.629** (1.349)";"1.090 (1.074)"
"year = -7";"-1.976*** (0.4076)";"-2.582*** (0.7489)";"-0.1308 (0.9401)";"-2.049* (0.9283)";"-1.537 (1.138)";"-1.837 (1.574)";"-3.152. (1.622)";"0.1587 (0.8473)"
"year = -6";"-1.090** (0.3718)";"-1.085 (0.8870)";"0.1051 (0.9647)";"-1.687* (0.8520)";"-2.210* (1.095)";"-1.407 (1.526)";"-1.478 (1.061)";"1.161 (0.7403)"
"year = -5";"-0.9656* (0.3751)";"-2.324** (0.8233)";"0.2730 (0.8132)";"-1.494 (0.9917)";"-1.057 (1.217)";"-1.950 (1.343)";"-1.545 (1.457)";"1.869* (0.8809)"
"year = -4";"-1.355*** (0.3340)";"-1.204. (0.6439)";"-0.9405 (0.8678)";"-1.727* (0.7837)";"-1.177 (0.8958)";"-2.575 (1.678)";"-2.265 (1.484)";"1.742* (0.8253)"
"year = -3";"-1.010*** (0.2695)";"-0.2841 (0.5665)";"-0.8398 (0.6332)";"-0.9924 (0.8569)";"-1.824. (0.9654)";"-1.873 (1.173)";"-2.318* (1.091)";"0.9688 (0.6333)"
"year = -2";"-1.010*** (0.2678)";"-0.3789 (0.5727)";"-0.2564 (0.6309)";"-1.235* (0.5937)";"-0.1865 (0.7898)";"-1.551 (1.189)";"-1.683 (1.142)";"0.3682 (0.6281)"
"year = 0";"0.3343 (0.2698)";"-0.5503 (0.5326)";"0.6932 (0.5211)";"0.2968 (0.6766)";"1.195. (0.6455)";"-0.4885 (0.9695)";"1.354 (0.9072)";"0.3649 (0.5636)"
"year = 1";"0.1715 (0.2856)";"0.1812 (0.5544)";"0.6743 (0.6276)";"1.349* (0.6707)";"1.236 (0.7616)";"0.8630 (1.452)";"1.536 (0.9623)";"0.3989 (0.6760)"
"year = 2";"1.420** (0.4849)";"1.932 (1.744)";"3.841*** (0.7359)";"1.084 (0.8024)";"0.7325 (1.707)";"0.9098 (1.430)";"2.011 (1.235)";"1.473. (0.8359)"
"year = 3";"1.458** (0.5318)";"0.0178 (0.5718)";"2.065** (0.7094)";"0.2268 (0.9527)";"2.012. (1.118)";"2.559 (1.810)";"4.599** (1.419)";"0.5186 (0.7214)"
"Fixed-Effects:";"------------------";"------------------";"-----------------";"----------------";"----------------";"----------------";"----------------";"---------------"
"cole_cod_dane";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"year";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"_______________";"__________________";"__________________";"_________________";"________________";"________________";"________________";"________________";"_______________"
"S.E.: Clustered";"by: cole_cod_dane";"by: cole_cod_dane";"by: cole_cod_dane";"by: cole_cod_d..";"by: cole_cod_d..";"by: cole_cod_d..";"by: cole_cod_d..";"by: cole_cod_.."
"Observations";"10,064";"2,079";"1,923";"2,082";"1,446";"1,001";"1,649";"1,552"
"R2";"0.86980";"0.86528";"0.88390";"0.88836";"0.87621";"0.86581";"0.86351";"0.88482"
"Within R2";"0.03302";"0.02799";"0.06577";"0.02385";"0.04019";"0.03082";"0.04499";"0.01166"
